site_ID,grassland_type,restoration_measure,species_richness,shannon_index
AA_T_01,H,T,15,2.48
AA_T_02,H,T,7,1.36
AA_T_03,H,T,21,2.81
AA_T_04,H,T,15,2.31
AA_T_05,H,T,14,1.8
AS_T_01,H,T,7,1.56
AS_T_02,H,T,11,1.92
AS_T_03,H,T,16,2.35
AS_T_04,H,T,3,0.58
AS_T_05,H,T,9,1.71
BH_TG_01,B,TG,18,2.28
BH_TG_02,B,TG,21,2.56
BH_TG_03,B,TG,23,2.4
BH_TG_04,B,TG,23,2.66
BH_TG_05,B,TG,20,2.48
BK_R_01,B,R,20,1.96
BK_R_02,B,R,26,2.23
BK_R_03,B,R,27,2.58
BK_R_04,B,R,31,2.84
BK_R_05,B,R,26,2.24
BK_TG2_01,B,TG,15,1.95
BK_TG2_02,B,TG,20,2.17
BK_TG2_03,B,TG,12,1.74
BK_TG2_04,B,TG,12,1.74
BK_TG2_05,B,TG,19,2.39
BK_TG_01,B,TG,25,2.73
BK_TG_02,B,TG,27,2.58
BK_TG_03,B,TG,18,2.13
BK_TG_04,B,TG,19,2.19
BK_TG_05,B,TG,25,2.53
BK_TG_06,B,TG,21,2.1
BK_T_01,B,T,21,2.66
BK_T_02,B,T,23,2.14
BK_T_03,B,T,20,1.86
BK_T_04,B,T,17,1.59
BK_T_05,B,T,20,1.84
BM_R_01,B,R,22,2.35
BM_R_02,B,R,23,2.2
BM_R_03,B,R,23,2.3
BM_R_04,B,R,23,2.47
BM_R_05,B,R,18,2.25
DV_R_01,H,R,15,2.01
DV_R_02,H,R,14,2.02
DV_R_03,H,R,10,1.93
DV_R_04,H,R,13,2.1
DV_R_05,H,R,23,2.51
DZ_R_01,H,R,12,1.89
DZ_R_02,H,R,9,1.84
DZ_R_03,H,R,12,2.1
DZ_R_04,H,R,11,1.83
DZ_R_05,H,R,10,1.91
GG_TG_01,B,TG,21,2.64
GG_TG_02,B,TG,21,2.29
GG_TG_03,B,TG,30,3.06
GG_TG_04,B,TG,18,1.91
GG_TG_05,B,TG,24,2.52
GP_T_01,B,T,16,1.94
GP_T_02,B,T,21,2.34
GP_T_03,B,T,23,2.44
GP_T_04,B,T,13,1.96
GP_T_05,B,T,21,2.49
HB_TG_01,B,TG,13,1.81
HB_TG_02,B,TG,19,2.49
HB_TG_03,B,TG,17,2.3
HB_TG_04,B,TG,22,2.3
HB_TG_05,B,TG,21,2.56
HV_R_01,H,R,17,2.2
HV_R_02,H,R,16,2.32
HV_R_03,H,R,18,2.42
HV_R_04,H,R,19,2.17
HV_R_05,H,R,17,2.23
KD_R_01,B,R,20,2.27
KD_R_02,B,R,18,2.12
KD_R_03,B,R,14,1.8
KD_R_04,B,R,12,1.69
KD_R_05,B,R,20,2.52
LM_T_01,B,T,30,2.36
LM_T_02,B,T,25,2.7
LM_T_03,B,T,22,2.63
LM_T_04,B,T,28,2.77
LM_T_05,B,T,23,1.88
LS_R_01,B,R,11,1.85
LS_R_02,B,R,17,2.42
LS_R_03,B,R,11,1.71
LS_R_04,B,R,15,1.99
LS_R_05,B,R,13,1.83
RK_TG_01,H,T,22,2.54
RK_TG_02,H,T,18,2.66
RK_TG_03,H,T,17,2.09
RK_TG_04,H,T,23,2.77
RK_TG_05,H,T,19,2.27
RK_T_01,H,T,21,2.69
RK_T_02,H,T,18,2.47
RK_T_03,H,T,18,2.13
RK_T_04,H,T,16,2.13
RK_T_05,H,T,18,2.48
SB_TG_01,B,TG,16,2.01
SB_TG_02,B,TG,18,2.21
SB_TG_03,B,TG,17,2.09
SB_TG_04,B,TG,18,2.37
SB_TG_05,B,TG,13,2.09
SD_T_01,H,T,16,2.38
SD_T_02,H,T,15,1.59
SD_T_03,H,T,19,2.31
SD_T_04,H,T,19,2.35
SD_T_05,H,T,15,1.57
SH_T_01,B,T,15,2.27
SH_T_02,B,T,17,2.37
SH_T_03,B,T,29,2.69
SH_T_04,B,T,25,2.66
SH_T_05,B,T,27,2.88
SV_R_01,B,R,24,2.15
SV_R_02,B,R,18,2.13
SV_R_03,B,R,14,2.08
SV_R_04,B,R,19,2.29
SV_R_05,B,R,17,2.09
SV_TG_01,B,TG,17,2.13
SV_TG_02,B,TG,19,2.19
SV_TG_03,B,TG,15,1.95
SV_TG_04,B,TG,14,2.16
SV_TG_05,B,TG,16,2.38
VV_TG_01,B,TG,20,2.4
VV_TG_02,B,TG,16,1.97
VV_TG_03,B,TG,20,2.6
VV_TG_04,B,TG,22,2.61
VV_TG_05,B,TG,24,2.81
WV_TG_01,H,T,3,0.82
WV_TG_02,H,T,6,1.44
WV_TG_03,H,T,6,0.86
WV_TG_04,H,T,8,1.12
WV_TG_05,H,T,13,1.65
WV_T_01,B,T,22,2.71
WV_T_02,B,T,16,2.07
WV_T_03,B,T,26,2.83
WV_T_04,B,T,23,2.66
WV_T_05,B,T,10,1.87
WW_R_01,B,R,14,1.96
WW_R_02,B,R,16,2.13
WW_R_04,B,R,18,2.2
WW_R_05,B,R,21,2.45
WZ_TG_01,B,TG,31,3.1
WZ_TG_02,B,TG,31,2.98
WZ_TG_03,B,TG,23,2.76
WZ_TG_04,B,TG,28,2.75
WZ_TG_05,B,TG,23,2.76
